code,name,image
KE-LC-001,Premium Diya,KE-LC-001.jpg
KE-LC-002,LED Pillar Candles,KE-LC-002.jpg
KE-LC-003,Crystal Candles - Gold,KE-LC-003.jpg
KE-LC-004,Box LED Candles,KE-LC-004.jpg
KE-LC-005,White Wax LED Candle,KE-LC-005.jpg
KE-LC-006,Floating LED Candles - Set,KE-LC-006.jpg
KE-LC-007,Button LED Candles,KE-LC-007.jpg
KE-LC-008,Floating LED Candle,KE-LC-008.jpg
KE-LC-009,Heart Shape LED Candle,KE-LC-009.jpg
KE-LC-010,Shadow Diya,KE-LC-010.jpg
KE-LC-011,Water Sensor Diya,KE-LC-011.jpg
KE-LC-012,Chinese Diya,KE-LC-012.jpg
KE-LC-013,White Light Diya,KE-LC-013.jpg
KE-LC-014,Diya with Stand,KE-LC-014.jpg
KE-LC-015,LED Diya,KE-LC-015.jpg
KE-LC-016,Water Sensor Diya - Pack,KE-LC-016.jpg
KE-LC-017,RGB LED Candle,KE-LC-017.jpg
KE-LC-018,Crystal Candles - White,KE-LC-018.jpg
KE-LC-019,Orange LED Candle,KE-LC-019.jpg
KE-LC-020,Flameless LED Candle Set,KE-LC-020.jpg
